,ED_MDM_Product_Code
1808,ED000005173
1809,ED000005181
1810,ED000005182
1811,ED000119392
1812,
1813,ED000119392
1814,
1815,ED000005177
1820,ED000005198
1824,
1825,
1826,
1827,ED000145939
1828,ED000175612
1829,ED000168413
1830,ED000110242
1831,ED000005236
1832,ED000005237
1833,ED000005240
1834,ED000121576
1835,ED000005242
1836,ED000005243
1838,ED000005243
1839,
1840,ED000110243
1841,ED000121210
1842,
1843,ED000148939
1844,ED000005272
1845,ED000005272
1846,ED000005280
1847,ED000172622
1848,ED000005297
1849,ED000003109
1851,ED000005299
1852,ED000005299
1853,ED000005304
1855,ED000110245
1857,ED000119422
1858,
1859,ED000005308
1860,ED000005309
1861,ED000005309
1862,ED000005314
1863,
1864,
1866,
1867,ED000005350
1868,ED000005350
1869,ED000005351
1870,ED000005352
1871,ED000005354
1872,ED000005357
1873,ED000005359
1875,ED000005358
1877,ED000005369
1879,ED000005375
1880,ED000005380
1882,ED000005395
1883,ED000005395
1885,ED000005396
1886,ED000005399
1887,ED000005400
1888,ED000005399
1891,ED000005403
1893,ED000005411
1894,ED000005412
1896,ED000005413
1899,ED000005414
1901,
1902,ED000005415
1904,ED000005419
1905,ED000005420
1906,ED000005421
1908,ED000005424
1912,ED000005449
1918,ED000174786
1921,ED000174806
1922,ED000174807
1923,ED000174809
1924,ED000174810
1925,ED000174812
1926,ED000174801
1927,ED000174799
1928,ED000176665
1932,ED000005454
1934,ED000005454
1935,ED000005455
1937,ED000005456
1938,ED000005456
1939,ED000148945
1941,ED000005503
1942,ED000005485
1943,ED000061781
1944,ED000061781
1945,
1946,ED000005492
1947,ED000005493
1948,
1950,ED000005495
1951,ED000005496
1954,ED000005505
1955,ED000005509
1956,ED000005509
1957,ED000005508
1959,ED000121011
1961,
1962,
1967,ED000005543
1968,
1970,ED000005545
1971,ED000005545
1972,ED000141259
1973,ED000005546
1974,
1975,
1976,ED000153086
1977,ED000005576
1978,ED000005576
1979,ED000005574
1980,ED000005577
1981,ED000121577
1982,ED000005578
1987,ED000005589
1989,ED000005591
1990,ED000110258
1994,ED000005618
1995,
1997,
1998,ED000005633
2000,ED000005660
2001,
2002,ED000005670
2003,ED000005682
2004,ED000005682
2005,ED000005683
2006,ED000005683
2007,ED000164260
2008,ED000005684
2009,ED000005684
2010,ED000115860
2011,ED000005685
2014,ED000143841
2022,ED000148955
2023,ED000005710
2024,ED000005737
2034,ED000005742
2037,ED000005768
2038,ED000005769
2041,
2042,ED000005788
2045,ED000175096
2047,
2049,ED000005824
2050,ED000005824
2051,ED000005824
2052,ED000005824
2053,ED000005826
2055,ED000005825
2056,ED000005829
2058,ED000005830
2059,ED000005830
2061,ED000110265
2062,ED000005832
2063,ED000169698
2064,ED000157738
2065,ED000124805
2066,ED000133132
2071,ED000178771
2072,ED000178772
2073,ED000005867
2074,ED000110267
2075,ED000110267
2076,ED000005866
2077,ED000110267
2078,ED000005871
2085,ED000005880
2086,ED000110268
2088,ED000157385
2094,ED000177519
2095,ED000005898
2108,ED000110276
2111,ED000005967
2113,ED000148321
2114,ED000005971
2115,ED000170719
2120,ED000006018
2122,ED000170964
2124,ED000166416
2126,ED000006033
2127,ED000006038
2128,ED000006040
2130,ED000006053
2132,ED000141265
2133,
2135,ED000120898
2141,ED000110289
2142,ED000110290
2143,ED000006066
2145,"IMPULSE PHARMA"""""
2148,ED000006069
2149,ED000117084
2150,ED000117085
2151,ED000117086
2152,ED000006081
2153,ED000176047
2155,ED000006085
2157,ED000006086
2159,
2160,ED000006088
2161,ED000006088
2162,ED000117088
2163,ED000117089
2164,
2165,ED000006090
2166,
2167,ED000006091
2168,ED000006092
2169,ED000006093
2170,ED000006094
2172,
2173,
2174,
2175,ED000006099
2176,
2177,ED000006105
2178,ED000006105
2179,ED000006105
2181,
2182,ED000006101
2183,ED000006101
2184,ED000006101
2185,ED000006104
2186,ED000006104
2187,ED000006106
2188,ED000006109
2189,ED000006109
2190,ED000006108
2191,ED000006108
2192,ED000006100
2193,ED000006110
2194,ED000006100
2195,ED000006111
2196,ED000006111
2197,ED000006112
2198,ED000006113
2199,ED000006111
2200,ED000006112
2201,ED000163645
2202,ED000163645
2203,ED000006114
2204,ED000006115
2205,ED000006114
2206,ED000006114
2207,ED000006114
2208,ED000006117
2209,ED000110299
2210,ED000110299
2212,ED000110300
